Abdullah Shafique
Adam Zampa
Alex Carey
Babar Azam
Ben Stokes
Cameron Green
Chris Woakes
David Warner
Fakhar Zaman
Glenn Maxwell
Hardik Pandya
Haris Rauf
Harry Brook
Iftikhar Ahmed
Imam-ul-Haq
Ishan Kishan
James Anderson
Jasprit Bumrah
Joe Root
Jofra Archer
Jonny Bairstow
Jos Buttler
Josh Hazlewood
KL Rahul
Marcus Stoinis
Mark Wood
Marnus Labuschagne
Mitchell Starc
Moeen Ali
Mohammad Nawaz
Mohammad Rizwan
Mohammed Shami
Naseem Shah
Pat Cummins
R Ashwin
Ravindra Jadeja
Rinku Singh
Rohit Sharma
Sam Curran
Sarfaraz Ahmed
Shadab Khan
Shaheen Afridi
Shubman Gill
Steve Smith
Stuart Broad
Suryakumar Yadav
Travis Head
Virat Kohli
